提交者（自动）,提交时间（自动）,大帅的昵称是？（必填）,AWG vs AXIZ 的比分会是？（必填）,RC vs Omni 的比分会是？（必填）,RD vs ZETA 的比分会是？（必填）,RVL vs FL 的比分会是？（必填）
森林渊子,2025/4/15 19:49:03,橘叶,0：2,2：0,0：2,1：1左赢
Fengzhe,2025/4/15 19:49:22,官官,1：1右赢,2：0,0：2,1：2
yang,2025/4/15 19:49:24,无名,右边赢，不想预测分数了,2：0,0：2,0：2
絃音,2025/4/15 19:49:29,絃音,0：2,2：1,1：2,1：2
汐屿,2025/4/15 19:50:48,汐屿,0：2,2：0,0：2,1：2
X,2025/4/15 19:51:22,橡木,0：2,2：0,0：2,0：1
Aurora.,2025/4/15 19:51:31,凌岚,0：2,2：0,0：2,左边赢，不想预测分数了
安,2025/4/15 19:52:23,安猫猫,0：1,2：0,1：0,2：0
han,2025/4/15 19:52:26,han,1：2,2：0,1：2,加赛右边赢
廿一,2025/4/15 19:54:45,廿一,右边赢，不想预测分数了,左边赢，不想预测分数了,右边赢，不想预测分数了,右边赢，不想预测分数了
落叶阔叶木,2025/4/15 19:54:50,咕咕落,右边赢，不想预测分数了,2：0,右边赢，不想预测分数了,右边赢，不想预测分数了
鲲鲲,2025/4/15 20:00:40,鲲鲲,0：1,1：0,0：2,0：1
星光り落在谁的指尖,2025/4/15 21:33:04,赤帆,右边赢，不想预测分数了,左边赢，不想预测分数了,左边赢，不想预测分数了,左边赢，不想预测分数了
越越,2025/4/15 21:37:18,流心芒果派,右边赢，不想预测分数了,左边赢，不想预测分数了,右边赢，不想预测分数了,右边赢，不想预测分数了
踏实的大三学长,2025/4/15 21:37:20,鱿鱼串,0：2,2：0,0：2,1：1左赢
ଲ,2025/4/15 21:38:11,水母,1：2,2：0,0：1,右边赢，不想预测分数了
L.L,2025/4/15 21:38:22,标本,1：1右赢,2：0,1：2,1：0
静待天晗,2025/4/15 21:40:57,风尘,0：1,2：0,0：2,0：2
Messi也爱听Trance,2025/4/15 21:41:54,M_Trance,0：2,2：0,0：1,1：0
